x,y,F1,F2
2.1123987697769033,-0.15594679547019652,5.176,26.849
-2.616014865757937,-1.5007275058950027,23.02,0.398
-2.5381285877194544,0.2790087581735281,8.783,1.849
2.350503520361009,-2.8337696973897,6.287,31.991
-2.9839947816245362,-1.711918786848932,16.318,0.507
2.0248859268393202,-1.435559355297487,10.614,25.439
0.3096888833410243,-1.7214638635832011,38.973,11.475
-0.10659563326645305,2.6012624805109743,8.22,21.341
-0.22314505679795227,2.9570325445401817,12.852,23.369
-2.0651708563037903,1.6960335119783068,4.059,8.143
1.599349003032958,2.4696974860565,3.362,33.193
-1.3683387311317976,1.2553351969610889,9.783,7.749
-1.821968330252765,2.274223867110881,6.188,12.108
-2.481055123870969,-1.815356922354272,23.121,0.934
2.367644651512303,1.0632207549399375,2.375,33.068
2.0107227162979395,-2.598363198619985,4.903,27.662
-0.5557987305661927,-2.01276255375444,46.404,7.0
-2.4119821799756576,2.652953157052907,7.95,13.69
1.9612165442902567,1.1672503986522527,1.902,29.311
1.775269845349655,0.03252165168248711,5.372,23.869
1.922982068415143,2.146784327349369,5.678,34.138
-0.23431803764709835,0.4940972720493959,27.982,9.881
-1.2989307295107266,-1.3579494613750882,53.698,3.022
1.6426399727840781,1.9421630204333216,3.297,30.21
-1.3244977455925346,-0.484702340230343,48.134,3.073
-2.133045328468538,0.2118661583143031,15.833,2.22
-2.3388601049782483,-0.5095513862373764,24.348,0.678
0.25393056721493634,1.9403383723262877,4.138,19.234
1.9011254836048987,-0.6822884688938964,10.439,24.122
2.1151115197153167,-2.611723470087538,5.232,28.762
2.480015676282549,3.0220457759240924,7.957,46.207
-2.633215908816025,0.08165821231793702,10.26,1.305
2.848062756294687,1.0273542307846366,2.611,38.31
-0.15486120605592602,-0.637544049860518,54.264,8.226
-2.886931629103247,-1.3870278258816733,18.881,0.163
2.260512077621777,3.086958652063834,6.582,44.376
-0.5526084171285284,-1.42608244754781,58.808,6.171
-3.1324865239366027,-3.0106938917960564,9.476,4.06
-0.4457061361453678,1.8026664888533892,8.484,14.379
-2.3379161144314753,0.653152943027985,6.548,3.171
0.7805097494094584,2.805488551580508,2.657,28.774
-0.08680210483689876,-1.3463436253835483,54.029,8.607
-2.1452309832657748,-2.6063018857191818,17.768,3.311
0.2218874329528937,2.4030277977181083,4.684,21.961
1.5809914875466182,-0.5140819163939976,12.689,21.222
1.1281876462914848,3.000155013373898,2.212,33.043
-0.19362380766047727,1.093338648049472,14.583,12.258
-0.8632927100501044,-1.6449669583211435,55.028,4.982
-1.4461589172627365,0.2851040389641599,27.015,4.066
-1.035437081330437,0.44260562115135604,28.743,5.941
-1.8769667846124058,0.4075237622698942,16.546,3.242
-2.2053787680220776,1.7488036528738506,4.051,8.187
-0.804847888692029,-2.271574149741872,39.668,6.436
0.10325959026851983,-1.4342689438450695,48.838,9.819
1.9165031288409384,0.025420815005703368,4.534,25.223
1.5654029431430967,2.5642907785413387,3.077,33.547
-0.25342963356459247,2.1831289097555464,7.277,17.676
-1.858256301691938,-0.262197496725769,31.278,1.848
2.3282877448552792,-0.7056909792789079,8.877,28.477
1.763461423815449,-3.05429632435389,3.559,26.911
1.7467638173017548,-2.7912336675997538,3.795,25.74
-1.406500250797855,-1.6329388099322633,48.166,2.94
2.7725755276560218,2.031515587877932,9.025,42.513
-2.6842570285875955,2.503705437808435,8.101,12.376
-1.1835276927907221,1.0732341599790525,13.699,7.598
-2.47890968776955,-1.5879925479884558,25.093,0.617
-2.183105332172108,2.27692391703164,5.981,11.406
1.2170706394124409,2.8417005860301208,1.782,32.542
1.7655594322569392,2.173373256619704,4.534,32.781
-0.7279691745675416,-3.1152614212608327,18.873,9.636
-1.170423829921514,2.471715086299624,9.429,15.4
-1.1450758624201751,0.4169251493345567,28.174,5.448
2.7444684936852495,-1.337373393443656,11.965,33.113
-0.8051533872121728,1.4113404082873995,11.406,10.632
-1.0004883291859108,1.1924982665275747,13.274,8.805
-2.6178186427873316,-2.829451568941751,11.668,3.493
3.0504679575417937,1.378801794524378,4.519,42.267
-1.312831561247012,0.5999840893180313,21.424,5.406
-2.053688187417757,0.42439775674365876,13.332,2.924
-2.9985660984881353,0.661048021315461,2.514,2.759
2.8209946479841665,-1.1727487031468589,12.422,33.914
-2.8670752618810966,0.3898239723875081,4.6,1.949
-1.8641373385269697,-3.053528942128175,14.167,5.507
-0.5380779110343394,-0.517088154730748,56.213,6.294
2.0567748553225202,-0.7376264529688976,9.769,25.64
-1.2029518644718602,2.7914828938927574,12.332,17.605
-2.819369714742953,-2.997911938374216,10.139,4.024
0.035211630500337154,2.900330518309679,9.807,24.425
-3.0014500566197215,2.194974272176749,8.428,10.208
2.9905609957918218,2.069595103760764,8.911,45.309
1.843287600984235,-1.1410840561890314,12.297,23.477
0.08424591588584551,0.6571998296770079,20.368,12.259
0.7187389029390907,-2.2981303868484355,17.743,15.514
-0.36955808281140445,1.1459236138470494,14.694,11.524
-3.0213152971181123,0.6449679031794657,2.49,2.706
2.22210252778628,-0.46837748452477745,7.393,27.553
-2.7868948662330806,1.1266020119032536,2.729,4.568
-0.2575175224815638,-1.995833398114724,44.061,8.513
2.0021657897738496,1.557162866898259,4.0,31.561
-0.545567787394309,1.5207222638602484,10.488,12.378
1.951839742828053,0.4371122349260719,1.71,26.586
2.181356276503733,0.6857455357691498,1.028,29.688
